opinion_ID|overall_reat|location|food|hotel|time_management|travelAgent|client_ID|offer_ID
0|3|2|1|3|10|9|0|0
1|1|1|2|9|6|9|1|1
2|6|7|10|8|7|3|2|2
3|6|4|1|10|10|8|3|3
4|4|8|5|1|8|3|4|4
5|5|6|6|9|1|5|5|5
6|8|8|2|3|3|6|6|6
7|1|1|8|1|3|3|7|7
8|3|1|8|3|9|4|8|8
9|4|7|10|7|10|6|9|9
10|9|4|9|8|5|9|10|10
11|10|9|7|3|5|3|11|11
12|6|8|5|6|10|9|12|12
13|3|5|10|6|8|5|13|13
14|1|4|7|3|3|8|14|14
15|9|9|4|10|10|7|15|15
16|3|3|1|10|3|8|16|16
17|2|7|8|9|5|3|17|17
18|2|2|5|8|3|8|18|18
19|4|4|6|3|4|5|19|19
20|3|5|4|5|9|3|20|20
21|10|2|5|4|10|9|21|21
22|8|6|6|6|2|6|22|22
23|7|1|8|2|5|8|23|23
24|1|3|6|6|8|7|24|24
25|3|6|10|10|6|9|25|25
26|7|7|2|9|2|8|26|26
27|3|1|6|6|1|7|27|27
28|10|8|9|1|5|1|28|28
29|3|10|9|8|3|1|29|29
30|6|8|10|3|6|1|30|30
31|8|9|5|8|3|9|31|31
32|4|6|6|3|2|9|32|32
33|8|9|4|7|1|1|33|33
34|4|8|6|6|3|1|34|34
35|8|2|2|5|6|6|35|35
36|4|7|3|6|3|5|36|36
37|2|7|1|6|7|2|37|37
38|10|1|8|6|4|6|38|38
39|8|10|5|8|4|6|39|39
40|2|10|4|2|9|6|40|40
41|7|10|1|7|1|5|41|41
42|9|6|3|8|10|10|42|42
43|3|2|7|8|6|8|43|43
44|1|5|5|1|3|1|44|44
45|6|9|10|5|7|3|45|45
46|10|4|8|7|10|7|46|46
47|1|10|9|6|10|2|47|47
48|4|9|10|7|10|10|48|48
49|1|7|10|1|5|1|49|49
50|8|3|2|2|5|5|50|50
51|4|6|3|6|8|10|51|51
52|4|7|7|10|2|7|52|52
53|2|7|6|2|2|7|53|53
54|10|2|5|10|5|6|54|54
55|4|4|9|6|6|6|55|55
56|3|5|2|4|8|1|56|56
57|3|2|2|6|3|2|57|57
58|2|8|9|2|4|7|58|58
59|3|1|2|8|1|6|59|59
60|8|6|5|4|8|6|60|60
61|8|7|5|9|2|3|61|61
62|7|7|10|1|4|2|62|62
63|6|2|9|8|7|8|63|63
64|3|3|10|5|1|5|64|64
65|10|3|4|6|8|3|65|65
66|9|1|2|9|1|9|66|66
67|3|3|4|2|2|3|67|67
68|1|2|6|7|2|6|68|68
69|1|3|8|3|7|2|69|69
