offer_ID|costs|OTW|creation_date|employee_ID|hotel_offer_ID
0|7483|6|1989-09-29 17:08:11|0|0
1|9847|1|2019-12-23 03:12:27|1|1
2|9101|4|1992-07-18 04:53:35|2|2
3|9891|9|2007-08-02 23:08:25|3|3
4|7604|9|1971-11-14 18:05:07|4|4
5|9705|1|1976-10-17 20:15:52|5|5
6|6030|4|1992-05-27 06:09:19|6|6
7|3707|7|2019-08-08 02:48:20|7|7
8|4060|8|2014-08-20 04:32:08|8|8
9|4125|3|1976-06-18 19:58:51|9|9
10|2572|0|2003-05-02 01:56:17|10|10
11|1485|9|1997-09-17 10:16:38|11|11
12|3389|2|1990-05-15 17:32:36|12|12
13|7384|4|1979-09-17 20:37:40|13|13
14|8930|6|2009-06-23 15:12:05|14|14
15|3094|0|1998-02-05 01:01:45|15|15
16|2103|9|2017-03-07 00:13:49|16|16
17|3366|5|1981-07-26 06:56:18|17|17
18|2584|2|2005-02-04 09:32:55|18|18
19|6128|4|1970-03-31 07:16:01|19|19
20|9695|5|2009-11-25 18:31:39|20|20
21|6512|1|1978-10-27 01:47:27|21|21
22|6666|6|1990-02-15 02:45:04|22|22
23|9984|1|1976-07-11 10:11:22|23|23
24|8507|4|1978-02-06 03:23:06|24|24
25|7794|3|1994-05-29 15:53:01|25|25
26|8806|7|1970-05-31 21:36:26|26|26
27|974|6|1991-08-19 05:35:03|27|27
28|4086|3|1971-03-28 07:55:22|28|28
29|2236|6|2014-07-09 03:40:36|29|29
30|8220|1|2011-07-02 15:25:53|30|30
31|5933|2|1997-10-05 12:55:35|31|31
32|9771|9|2011-11-14 17:09:00|32|32
33|2338|3|2009-01-01 14:44:13|33|33
34|6710|5|2017-12-24 20:06:18|34|34
35|9002|2|1998-04-16 08:06:20|35|35
36|3085|0|1976-09-19 14:04:53|36|36
37|3587|9|2019-09-25 07:53:13|37|37
38|3935|2|2018-12-01 19:20:01|38|38
39|4962|8|1983-04-13 06:44:08|39|39
40|4428|6|1978-04-25 12:40:16|40|40
41|7757|4|1992-06-13 14:44:48|41|41
42|2841|8|1981-01-20 04:27:02|42|42
43|7496|5|2018-03-16 02:12:33|43|43
44|2397|3|1992-07-21 09:43:06|44|44
45|3270|5|1995-05-07 23:42:04|45|45
46|1445|9|1980-11-15 18:45:32|46|46
47|4464|9|2017-07-05 03:18:07|47|47
48|1864|0|1986-08-23 03:07:58|48|48
49|6231|0|2017-05-20 23:33:41|49|49
50|3317|3|1981-01-25 13:20:12|50|50
51|2951|1|1979-01-23 16:30:36|51|51
52|9974|0|2014-12-16 18:23:31|52|52
53|835|2|2007-08-11 19:10:07|53|53
54|1207|6|1973-04-07 21:39:25|54|54
55|9766|4|1992-01-28 10:32:17|55|55
56|4826|4|2004-03-30 11:02:33|56|56
57|1066|3|2007-04-23 18:44:51|57|57
58|8875|1|1983-02-21 16:32:01|58|58
59|8881|1|2001-01-12 15:57:13|59|59
60|5404|2|2014-02-03 04:18:52|60|60
61|7545|6|2000-04-14 20:50:43|61|61
62|9533|2|2013-04-11 21:31:38|62|62
63|3930|2|1990-09-12 22:54:22|63|63
64|9445|9|1985-12-29 05:54:24|64|64
65|4913|4|1993-10-22 08:33:28|65|65
66|7266|2|1988-06-11 01:42:30|66|66
67|5936|3|2020-05-15 00:36:22|67|67
68|4720|3|1973-11-24 08:28:40|68|68
69|4853|2|2017-08-06 14:13:37|69|69
70|5264|3|2018-07-12 09:51:34|70|70
71|9345|0|1990-10-30 05:23:47|71|71
72|2165|9|2003-10-26 14:38:39|72|72
73|6262|6|1997-07-14 04:27:59|73|73
74|3989|2|1981-11-12 15:52:41|74|74
75|8810|5|1993-02-16 07:47:49|75|75
76|7328|7|2020-10-10 17:01:11|76|76
77|5580|0|2016-01-11 01:45:30|77|77
78|9605|2|1983-07-05 04:18:57|78|78
79|1308|9|2010-07-19 01:07:31|79|79
80|4330|6|1994-10-12 13:26:24|80|80
81|945|6|1973-03-07 07:16:05|81|81
82|5714|2|1977-04-01 05:51:32|82|82
83|5334|3|1975-12-01 21:30:08|83|83
84|9139|1|1977-11-18 12:14:14|84|84
85|2818|2|1992-06-06 13:15:01|85|85
86|4332|6|1980-10-30 21:03:33|86|86
87|4429|7|1992-02-03 13:39:23|87|87
88|7447|6|1991-09-25 06:30:12|88|88
89|1903|2|2004-06-21 04:17:04|89|89
90|4297|7|2016-09-02 05:27:00|90|90
91|7775|5|1999-08-18 23:22:19|91|91
92|7729|7|1982-05-11 02:52:37|92|92
93|9159|9|2001-07-05 02:20:23|93|93
94|8219|5|2000-04-21 12:33:08|94|94
95|9912|0|2017-12-01 02:31:37|95|95
96|3477|8|2006-12-21 17:48:10|96|96
97|7947|7|2007-07-30 02:13:46|97|97
98|9036|7|2006-08-19 14:11:18|98|98
99|5826|6|1982-01-21 13:00:12|99|99
100|7790|3|1997-05-07 10:22:30|100|100
101|8772|6|1972-09-30 13:43:18|101|101
102|2361|2|1985-01-16 04:54:35|102|102
103|4986|8|1975-08-12 10:56:08|103|103
104|6379|3|2000-04-17 01:40:06|104|104
105|5313|7|1988-10-21 23:23:03|105|105
106|7324|3|2006-03-04 02:32:44|106|106
107|7403|3|2009-12-25 21:49:40|107|107
108|5264|8|1971-04-10 07:39:13|108|108
109|2702|4|1986-03-12 12:34:38|109|109
110|5546|5|1971-05-09 22:08:31|110|110
111|4606|9|1987-05-03 06:37:40|111|111
112|9878|3|1994-05-31 15:21:40|112|112
113|7703|5|2006-04-25 20:41:34|113|113
114|2633|1|2004-07-14 22:50:03|114|114
115|8878|9|1970-06-23 19:31:35|115|115
116|6572|0|2018-02-03 02:10:16|116|116
117|1259|6|2010-05-10 07:35:18|117|117
118|2827|3|2002-01-16 23:32:43|118|118
119|2176|1|1978-01-05 06:24:41|119|119
120|2093|8|2006-12-28 11:17:42|120|120
121|7133|6|1999-05-20 14:42:24|121|121
122|3125|3|1974-08-03 09:49:04|122|122
123|1341|4|1991-01-23 14:54:36|123|123
124|1308|0|1978-12-07 03:28:33|124|124
125|8550|6|1982-02-13 11:20:41|125|125
126|4104|3|2011-06-15 13:26:29|126|126
127|6667|7|1984-12-25 17:38:50|127|127
128|7893|9|1995-01-16 02:20:39|128|128
129|7707|8|2017-10-22 04:25:07|129|129
130|9564|6|1992-05-09 08:01:48|130|130
131|6168|5|2017-02-06 03:28:55|131|131
132|8402|0|1990-01-28 16:16:25|132|132
133|9736|0|2014-12-19 01:14:56|133|133
134|9750|0|2019-09-26 01:29:28|134|134
135|7785|4|1994-10-20 20:04:08|135|135
136|1557|0|2010-07-30 01:18:48|136|136
137|1394|1|1982-04-27 22:32:57|137|137
138|1241|4|1973-01-28 08:12:43|138|138
139|4296|5|1992-03-08 09:36:57|139|139
140|1199|9|2020-02-12 14:51:48|140|140
141|5530|2|1993-12-30 12:40:07|141|141
142|9660|3|2008-05-07 15:15:48|142|142
143|5302|0|1997-09-06 04:52:27|143|143
144|1243|9|2000-02-22 16:45:07|144|144
145|8425|3|1991-11-09 20:27:04|145|145
146|3876|8|2000-04-11 11:31:39|146|146
147|7868|7|2003-10-01 07:01:00|147|147
148|9441|9|2010-10-20 18:00:29|148|148
149|8416|3|2011-04-29 16:48:49|149|149
150|4731|3|1976-01-03 19:07:08|150|150
151|3909|4|1977-04-12 20:55:57|151|151
152|6055|8|2016-04-25 21:18:13|152|152
153|4998|0|1982-10-26 21:14:17|153|153
154|7564|4|2000-07-27 05:57:37|154|154
155|4977|1|2010-04-25 12:50:46|155|155
156|5134|5|2007-04-23 21:02:44|156|156
157|3286|4|1985-03-18 02:45:08|157|157
158|9493|2|1971-04-01 09:09:52|158|158
159|1989|1|2018-03-23 08:56:16|159|159
160|3886|1|1990-10-15 00:07:20|160|160
161|5191|4|1992-07-19 22:54:30|161|161
162|5573|4|2001-10-30 15:19:40|162|162
163|2743|5|1998-01-06 06:59:41|163|163
164|9508|0|1979-09-20 05:08:59|164|164
165|7547|9|2000-02-02 17:53:26|165|165
166|7540|0|1987-01-08 14:53:12|166|166
167|4588|9|1992-02-16 08:39:52|167|167
168|5566|4|2016-06-19 19:11:59|168|168
169|8204|6|1977-01-30 22:05:48|169|169
170|6670|9|1975-12-22 08:45:13|170|170
171|9203|2|1996-06-23 00:07:20|171|171
172|5630|7|1970-01-14 23:27:10|172|172
173|5762|0|2007-05-24 16:54:34|173|173
174|2227|4|2008-10-15 02:32:22|174|174
175|7517|1|1994-04-09 11:02:45|175|175
176|2365|4|2006-02-09 07:21:02|176|176
177|7567|0|2008-10-26 08:47:51|177|177
178|3372|8|2001-08-17 13:02:45|178|178
179|5691|2|1972-08-26 18:01:12|179|179
180|8341|3|1977-06-02 22:46:19|180|180
181|8035|3|1993-09-22 06:13:14|181|181
182|6510|0|2014-11-12 22:18:26|182|182
183|8496|5|1981-06-04 20:20:23|183|183
184|3428|9|1982-05-10 01:17:32|184|184
185|4816|7|1977-11-30 07:07:35|185|185
186|6212|1|1983-12-16 22:30:24|186|186
187|5544|1|1983-09-16 06:14:35|187|187
188|4555|7|1995-10-15 00:00:14|188|188
189|2440|6|2018-04-09 05:48:22|189|189
190|7633|2|2005-07-02 14:57:25|190|190
191|7443|9|2010-07-01 14:32:52|191|191
192|9268|0|1995-08-02 13:28:42|192|192
193|972|9|1974-02-19 21:23:35|193|193
194|9665|8|1970-07-12 22:27:07|194|194
195|4255|6|2004-12-23 23:36:43|195|195
196|2771|3|1983-04-28 13:55:09|196|196
197|5609|8|1988-07-12 22:03:15|197|197
198|7330|9|2001-03-15 05:42:57|198|198
199|3374|0|1999-06-10 21:38:47|199|199
200|3914|0|2016-04-29 08:23:29|200|200
201|931|1|2020-12-03 22:13:32|201|201
202|9516|5|1974-10-15 12:12:11|202|202
203|9974|3|1978-11-03 19:10:31|203|203
204|2493|2|2015-09-15 04:20:51|204|204
205|3355|8|2004-07-17 03:37:12|205|205
206|4727|0|2013-04-03 09:59:39|206|206
207|5696|0|2009-04-26 11:30:07|207|207
208|6438|2|2005-02-16 14:16:27|208|208
209|1704|4|2009-12-04 19:04:25|209|209
210|4137|1|2012-01-07 05:56:15|210|210
211|1625|6|2019-02-06 10:11:19|211|211
212|995|9|1985-06-20 02:34:05|212|212
213|7311|1|1970-06-24 19:01:38|213|213
214|4422|4|2016-09-27 23:25:06|214|214
215|1692|8|2003-09-29 05:18:28|215|215
216|7314|8|1989-02-08 09:49:03|216|216
217|6543|6|1996-07-26 20:08:37|217|217
218|8773|2|1977-03-15 08:29:02|218|218
219|1868|4|2020-05-22 13:41:46|219|219
220|7515|9|1977-12-13 20:59:27|220|220
221|5611|3|2020-11-18 05:04:03|221|221
222|9870|4|1986-10-08 17:19:40|222|222
223|9290|5|2019-09-18 05:43:02|223|223
224|8762|2|2008-12-10 05:25:01|224|224
225|8173|8|2011-02-14 21:45:55|225|225
226|6992|6|2013-06-27 16:51:50|226|226
227|7252|6|2002-08-10 16:40:54|227|227
228|3380|6|2009-04-15 06:27:48|228|228
229|6537|2|2010-06-13 17:51:55|229|229
230|3840|8|1978-08-14 19:10:35|230|230
231|1655|9|2001-09-30 23:19:47|231|231
232|5872|9|1977-02-26 02:00:28|232|232
233|6299|5|2013-02-07 06:31:47|233|233
234|6185|6|1992-05-06 10:14:58|234|234
235|3428|4|2017-05-11 11:25:14|235|235
236|807|1|1996-10-22 14:42:17|236|236
237|2261|1|1973-04-23 22:03:59|237|237
238|8759|0|1984-12-29 05:59:45|238|238
239|5639|3|1984-05-17 11:45:24|239|239
240|5950|7|2005-06-12 07:25:09|240|240
241|801|0|2016-01-20 22:26:47|241|241
242|4673|7|2003-01-21 09:09:42|242|242
243|7898|1|2020-11-29 19:45:42|243|243
244|8306|9|2006-10-25 16:57:21|244|244
245|3103|2|2005-04-28 00:45:45|245|245
246|8796|6|2016-01-17 15:12:27|246|246
247|2920|2|1994-01-03 01:01:15|247|247
248|8874|1|1979-11-27 06:17:45|248|248
249|6540|4|2004-12-07 17:33:47|249|249
250|1109|0|1994-11-15 10:19:53|250|250
251|8453|0|2019-12-10 16:41:29|251|251
252|1852|4|2013-09-26 14:30:53|252|252
253|6093|3|2008-03-01 07:02:24|253|253
254|5276|0|2011-11-02 04:20:14|254|254
255|5678|3|2004-11-06 08:37:31|255|255
256|4012|7|1996-12-26 15:39:17|256|256
257|6075|5|2004-11-16 23:46:17|257|257
258|2290|8|2014-05-14 13:57:51|258|258
