transaction_no|amount|payment_date|payment_method|offer_ID|client_ID
0|7017|2014-12-13 12:48:37|BLIK|0|0
1|1458|1989-09-11 16:28:57|BLIK|1|1
2|9939|2008-06-30 01:42:14|MasterCard|2|2
3|1587|1981-09-10 05:32:29|BLIK|3|3
4|4818|1998-02-26 08:25:22|BitCoin|4|4
5|6944|1980-08-25 10:46:50|Cash|5|5
6|4455|1975-03-23 14:39:28|BLIK|6|6
7|4163|2007-07-16 04:21:37|MasterCard|7|7
8|9816|2011-12-17 04:37:09|PayPal|8|8
9|4843|1980-10-03 16:23:32|BLIK|9|9
10|6663|1980-11-03 05:04:30|Visa|10|10
11|1485|2019-05-28 04:45:19|BLIK|11|11
12|4093|2016-02-02 13:37:11|Cash|12|12
13|9622|1987-10-08 02:33:12|Visa|13|13
14|7490|1971-01-22 12:14:07|Cash|14|14
15|7365|1970-01-03 03:28:37|Cash|15|15
16|3988|1998-04-21 22:59:06|BLIK|16|16
17|8003|1975-04-07 10:23:48|International Transfer|17|17
18|4482|1984-03-15 15:59:49|Cash|18|18
19|2871|2005-09-03 12:19:02|BitCoin|19|19
20|1008|1995-12-12 11:13:41|MasterCard|20|20
21|4294|1992-10-09 12:11:31|BitCoin|21|21
22|3432|1988-05-14 23:48:22|PayPal|22|22
23|8294|2017-02-14 05:19:20|Cash|23|23
24|7072|2010-05-24 01:14:23|International Transfer|24|24
25|1220|1999-01-06 03:18:42|MasterCard|25|25
26|8558|1997-06-01 03:20:36|BitCoin|26|26
27|4563|1973-08-10 09:08:28|Visa|27|27
28|4154|1981-08-22 23:43:38|International Transfer|28|28
29|10222|2014-04-03 23:47:57|MasterCard|29|29
30|7092|1991-04-22 22:51:03|Cash|30|30
31|10637|1975-10-14 21:29:39|Cash|31|31
32|7141|1988-06-06 21:37:00|International Transfer|32|32
33|9215|1986-12-25 15:06:45|Visa|33|33
34|9441|1993-03-26 07:57:21|Cash|34|34
35|6260|2006-12-01 13:08:57|Cash|35|35
36|4837|2019-02-15 02:32:12|International Transfer|36|36
37|9067|1972-10-26 15:32:39|Cash|37|37
38|2274|1988-10-31 14:02:03|BitCoin|38|38
39|4617|2002-01-18 19:03:12|Visa|39|39
40|6461|1975-09-06 10:04:17|BLIK|40|40
41|5758|1974-05-14 07:40:48|PayPal|41|41
42|1355|2007-11-30 02:34:50|MasterCard|42|42
43|1291|2018-05-26 11:23:26|Visa|43|43
44|4425|1972-02-08 23:31:08|Visa|44|44
45|3145|1972-03-19 20:56:27|Cash|45|45
46|9899|1990-08-10 22:54:01|BLIK|46|46
47|9513|1993-01-24 22:35:32|MasterCard|47|47
48|4672|1973-07-31 04:08:24|Visa|48|48
49|3728|1975-08-23 15:04:40|International Transfer|49|49
50|8079|1991-06-30 00:25:41|MasterCard|50|50
51|5734|2020-10-15 21:04:45|International Transfer|51|51
52|8671|1986-07-01 11:09:08|BLIK|52|52
53|9360|1974-10-08 04:11:16|BLIK|53|53
54|8561|2018-02-28 18:22:05|PayPal|54|54
55|4166|1977-08-28 08:10:11|MasterCard|55|55
56|3511|2008-12-08 11:26:13|Cash|56|56
57|9077|1992-04-26 22:29:22|Visa|57|57
58|10091|2011-08-06 15:04:34|MasterCard|58|58
59|6326|2012-09-04 14:22:25|PayPal|59|59
60|6101|1997-08-29 05:35:51|PayPal|60|60
61|1510|1973-12-15 12:48:05|Visa|61|61
62|1666|1980-04-13 15:58:49|International Transfer|62|62
63|9699|2002-10-18 03:53:58|PayPal|63|63
64|8575|1997-08-24 00:19:59|PayPal|64|64
65|10726|2010-11-10 15:40:13|BitCoin|65|65
66|10710|1982-12-19 22:00:06|Visa|66|66
67|6956|2017-10-28 18:18:12|BitCoin|67|67
68|1333|1988-08-25 01:19:29|PayPal|68|68
69|6811|2003-08-24 05:54:52|PayPal|69|69
70|10059|2002-12-27 03:41:01|BLIK|70|70
71|2680|2011-04-21 20:41:43|International Transfer|71|71
72|2869|1999-09-28 05:23:42|Visa|72|72
73|7273|1998-05-22 01:15:38|PayPal|73|73
74|8602|1973-05-19 22:29:39|Visa|74|74
75|7880|1992-04-10 22:42:16|Cash|75|75
76|2034|1987-06-20 12:43:40|Cash|76|76
77|7550|2004-03-10 20:12:47|BLIK|77|77
78|4358|1992-08-12 00:53:11|PayPal|78|78
