agency_ID|agency_name|city|country
0|East AnthonyParadise Agency|East Anthony|Belarus
1|DorothyburyParadise Agency|Dorothybury|Congo
2|West JosephParadise Agency|West Joseph|Bahamas
3|North JackburghParadise Agency|North Jackburgh|Mauritania
4|South AlexanderParadise Agency|South Alexander|Afghanistan
5|JohnsfurtParadise Agency|Johnsfurt|Uruguay
6|TaylorfortParadise Agency|Taylorfort|Aruba
7|South DorisfortParadise Agency|South Dorisfort|Jordan
8|New JohnmouthParadise Agency|New Johnmouth|Honduras
9|Lake CassandraParadise Agency|Lake Cassandra|Afghanistan
10|FisherfortParadise Agency|Fisherfort|Portugal
11|Lake RobertvilleParadise Agency|Lake Robertville|Luxembourg
12|North JulianParadise Agency|North Julian|Mali
13|HoffmanportParadise Agency|Hoffmanport|Bosnia and Herzegovina
14|CervantesburyParadise Agency|Cervantesbury|Aruba
15|Port EmilyParadise Agency|Port Emily|Iceland
16|DestinyfurtParadise Agency|Destinyfurt|Equatorial Guinea
17|McdonaldvilleParadise Agency|Mcdonaldville|Myanmar
18|South BenjaminburyParadise Agency|South Benjaminbury|Netherlands
19|South KristenviewParadise Agency|South Kristenview|South Africa
20|New JenniferfortParadise Agency|New Jenniferfort|Oman
21|East KennethmouthParadise Agency|East Kennethmouth|Suriname
22|Lake SusanmouthParadise Agency|Lake Susanmouth|Pitcairn Islands
23|North AndreastadParadise Agency|North Andreastad|Moldova
24|East RandysideParadise Agency|East Randyside|Cambodia
25|MarshalltownParadise Agency|Marshalltown|Kyrgyz Republic
26|GregorymouthParadise Agency|Gregorymouth|Uzbekistan
27|North CarmenParadise Agency|North Carmen|Northern Mariana Islands
28|ChandlermouthParadise Agency|Chandlermouth|Zambia
29|South LauraParadise Agency|South Laura|Burundi
30|North RodneyParadise Agency|North Rodney|Saint Pierre and Miquelon
31|New JeanmouthParadise Agency|New Jeanmouth|Haiti
32|WyattbergParadise Agency|Wyattberg|Tonga
33|East KendraParadise Agency|East Kendra|Heard Island and McDonald Islands
34|Port WesleyParadise Agency|Port Wesley|French Southern Territories
35|Lake MaryParadise Agency|Lake Mary|Northern Mariana Islands
36|North RickymouthParadise Agency|North Rickymouth|Dominican Republic
37|MelissafortParadise Agency|Melissafort|Georgia
38|SamanthafurtParadise Agency|Samanthafurt|Montenegro
39|Port HannahParadise Agency|Port Hannah|Guatemala
40|North NancylandParadise Agency|North Nancyland|Gabon
41|Port KathybergParadise Agency|Port Kathyberg|United States Minor Outlying Islands
42|East ChristopherParadise Agency|East Christopher|Greenland
43|WilliamshireParadise Agency|Williamshire|Romania
44|KnighttownParadise Agency|Knighttown|Venezuela
45|West LindseyParadise Agency|West Lindsey|Tokelau
46|GarciafortParadise Agency|Garciafort|Belgium
47|LyonsboroughParadise Agency|Lyonsborough|Antigua and Barbuda
48|RobertmouthParadise Agency|Robertmouth|United States of America
49|New KevinbergParadise Agency|New Kevinberg|El Salvador
50|SmithlandParadise Agency|Smithland|India
51|AmberburyParadise Agency|Amberbury|Senegal
52|JasonmouthParadise Agency|Jasonmouth|Hungary
53|DariussideParadise Agency|Dariusside|Korea
54|EllischesterParadise Agency|Ellischester|Togo
55|North PaulburyParadise Agency|North Paulbury|Georgia
56|ShellyshireParadise Agency|Shellyshire|South Georgia and the South Sandwich Islands
57|RhodesburyParadise Agency|Rhodesbury|Tajikistan
58|Lake KathrynburyParadise Agency|Lake Kathrynbury|Aruba
59|East GregoryParadise Agency|East Gregory|Morocco
60|GoodmanmouthParadise Agency|Goodmanmouth|Grenada
61|KempviewParadise Agency|Kempview|Trinidad and Tobago
62|DarrentownParadise Agency|Darrentown|Gabon
63|PennytonParadise Agency|Pennyton|Myanmar
64|JaclynmouthParadise Agency|Jaclynmouth|Saint Kitts and Nevis
65|Port DaveParadise Agency|Port Dave|Bermuda
66|PaulmouthParadise Agency|Paulmouth|Tanzania
67|FrancistonParadise Agency|Franciston|Korea
68|LisaportParadise Agency|Lisaport|Spain
69|GutierrezvilleParadise Agency|Gutierrezville|Bosnia and Herzegovina
70|North TimothyshireParadise Agency|North Timothyshire|Lebanon
71|ParkermouthParadise Agency|Parkermouth|Guyana
72|EmilystadParadise Agency|Emilystad|Italy
73|StevenhavenParadise Agency|Stevenhaven|Monaco
74|HernandezfurtParadise Agency|Hernandezfurt|Pitcairn Islands
75|West WilliamParadise Agency|West William|Ethiopia
76|Port JamestownParadise Agency|Port Jamestown|Netherlands
77|SuefurtParadise Agency|Suefurt|Malta
78|JudithtownParadise Agency|Judithtown|Tajikistan
79|GrayshireParadise Agency|Grayshire|Saint Lucia
80|Port StephanieParadise Agency|Port Stephanie|Saint Barthelemy
81|JoneshavenParadise Agency|Joneshaven|Bulgaria
82|CaseyfortParadise Agency|Caseyfort|Antigua and Barbuda
83|WaremouthParadise Agency|Waremouth|Kazakhstan
84|TaylorboroughParadise Agency|Taylorborough|Mongolia
85|ThomasburyParadise Agency|Thomasbury|Luxembourg
86|LawrencemouthParadise Agency|Lawrencemouth|Bangladesh
87|North StaceyburyParadise Agency|North Staceybury|Guinea-Bissau
88|East AngelachesterParadise Agency|East Angelachester|China
89|Lake LauraParadise Agency|Lake Laura|Ireland
90|West JamesParadise Agency|West James|Djibouti
91|Lake ShellyParadise Agency|Lake Shelly|Dominican Republic
92|Port DouglasshireParadise Agency|Port Douglasshire|Vanuatu
93|West JoshuaParadise Agency|West Joshua|Angola
94|OlsentownParadise Agency|Olsentown|Syrian Arab Republic
95|KnightviewParadise Agency|Knightview|Russian Federation
96|Lake SallyParadise Agency|Lake Sally|Iran
97|DestinyboroughParadise Agency|Destinyborough|Guam
98|MedinafurtParadise Agency|Medinafurt|Gibraltar
99|New KevinParadise Agency|New Kevin|Burkina Faso
100|JohntonParadise Agency|Johnton|Antigua and Barbuda
101|HensleyviewParadise Agency|Hensleyview|El Salvador
102|JustinfortParadise Agency|Justinfort|Slovakia (Slovak Republic)
103|JohnvilleParadise Agency|Johnville|Morocco
104|West GarrettstadParadise Agency|West Garrettstad|Georgia
105|New LeahParadise Agency|New Leah|Gibraltar
106|South RobertParadise Agency|South Robert|Gabon
107|West MasonParadise Agency|West Mason|Antarctica (the territory South of 60 deg S)
108|HawkinschesterParadise Agency|Hawkinschester|Mayotte
109|StephenstownParadise Agency|Stephenstown|Philippines
110|North JeremyParadise Agency|North Jeremy|Namibia
111|East DavidParadise Agency|East David|Tuvalu
112|South AustinlandParadise Agency|South Austinland|Niger
113|AnnchesterParadise Agency|Annchester|Uzbekistan
114|New KimberlyParadise Agency|New Kimberly|Panama
115|New LisaParadise Agency|New Lisa|Monaco
116|MoorehavenParadise Agency|Moorehaven|Luxembourg
117|Port LaurenParadise Agency|Port Lauren|Belarus
118|LaurieportParadise Agency|Laurieport|Mongolia
119|LauraburghParadise Agency|Lauraburgh|Montserrat
120|South RuthshireParadise Agency|South Ruthshire|India
121|KevinchesterParadise Agency|Kevinchester|Algeria
122|East KathleenParadise Agency|East Kathleen|Mauritania
123|South AdammouthParadise Agency|South Adammouth|Belgium
124|East AlisonportParadise Agency|East Alisonport|Guadeloupe
125|East SheilabergParadise Agency|East Sheilaberg|Pitcairn Islands
126|Lake JacquelineParadise Agency|Lake Jacqueline|Sao Tome and Principe
127|North JenniferfortParadise Agency|North Jenniferfort|Guyana
128|MichaelviewParadise Agency|Michaelview|Bangladesh
129|HillfortParadise Agency|Hillfort|Nicaragua
130|Lake MichelleParadise Agency|Lake Michelle|Bangladesh
131|Port PamelafurtParadise Agency|Port Pamelafurt|Israel
132|Port StevenParadise Agency|Port Steven|Pakistan
133|Port ConnorburghParadise Agency|Port Connorburgh|Iraq
134|KingburghParadise Agency|Kingburgh|Sweden
135|East MindyfurtParadise Agency|East Mindyfurt|Azerbaijan
136|NicholsmouthParadise Agency|Nicholsmouth|French Guiana
137|East AlexanderParadise Agency|East Alexander|Holy See (Vatican City State)
138|ThomasburyParadise Agency|Thomasbury|Portugal
139|South AmandaParadise Agency|South Amanda|Norway
140|South BrandonlandParadise Agency|South Brandonland|Tonga
141|MatthewbergParadise Agency|Matthewberg|Denmark
142|South ToddParadise Agency|South Todd|Ethiopia
143|VincentvilleParadise Agency|Vincentville|Nicaragua
144|SmithstadParadise Agency|Smithstad|Aruba
145|New RyanfortParadise Agency|New Ryanfort|Paraguay
146|North ChristinaParadise Agency|North Christina|Guernsey
147|New DavidvilleParadise Agency|New Davidville|Thailand
148|New JenniferParadise Agency|New Jennifer|Guinea
149|East JeremyParadise Agency|East Jeremy|Canada
150|WilkinsonviewParadise Agency|Wilkinsonview|Montserrat
151|Port ThomasParadise Agency|Port Thomas|Guam
