airport_ID|airport_name|city|country
0|Stephentownairport|Stephentown|Bahamas
1|Boonechesterairport|Boonechester|Poland
2|South Jennifermouthairport|South Jennifermouth|Barbados
3|West Charlenelandairport|West Charleneland|Brunei Darussalam
4|Claudiashireairport|Claudiashire|Mayotte
5|Oscarhavenairport|Oscarhaven|French Polynesia
6|Wagnerchesterairport|Wagnerchester|Bolivia
7|Port Dianasideairport|Port Dianaside|Saint Helena
8|South Shannonairport|South Shannon|Denmark
9|Morganmouthairport|Morganmouth|Iran
10|Blairmouthairport|Blairmouth|Japan
11|Elizabethstadairport|Elizabethstad|Zimbabwe
12|Lake Sandraairport|Lake Sandra|Bangladesh
13|Port Christopherchesterairport|Port Christopherchester|Bhutan
14|Lisasideairport|Lisaside|Bahamas
15|Elizabethchesterairport|Elizabethchester|Guinea
16|Parrishtonairport|Parrishton|France
17|Michaelshireairport|Michaelshire|Macedonia
18|East Dianeairport|East Diane|Czech Republic
19|West Meganstadairport|West Meganstad|Brazil
20|Audreychesterairport|Audreychester|Tanzania
21|New Sarahviewairport|New Sarahview|Antarctica (the territory South of 60 deg S)
22|West Jacquelineairport|West Jacqueline|Georgia
23|Michaelburghairport|Michaelburgh|Trinidad and Tobago
24|New Dianeairport|New Diane|Bangladesh
25|Lake Cynthiaairport|Lake Cynthia|Antarctica (the territory South of 60 deg S)
26|Lake Alyssafurtairport|Lake Alyssafurt|Italy
27|Petersonstadairport|Petersonstad|Georgia
28|Kimberlyshireairport|Kimberlyshire|Nauru
29|North Erictonairport|North Ericton|Peru
30|West Scottchesterairport|West Scottchester|Libyan Arab Jamahiriya
31|Perryboroughairport|Perryborough|Saudi Arabia
32|West Russellportairport|West Russellport|Philippines
33|Roseportairport|Roseport|Aruba
34|South Traceyairport|South Tracey|Azerbaijan
35|East Kevinboroughairport|East Kevinborough|Seychelles
36|Port Jonathanairport|Port Jonathan|Greece
37|North Tylerchesterairport|North Tylerchester|China
38|South Amandaairport|South Amanda|Denmark
39|Charlestonairport|Charleston|Jordan
40|South Samanthamouthairport|South Samanthamouth|Montserrat
41|Berrychesterairport|Berrychester|French Guiana
42|South Andrewmouthairport|South Andrewmouth|Chile
43|Collierstadairport|Collierstad|Benin
44|Richardburyairport|Richardbury|Jordan
45|Warrenfurtairport|Warrenfurt|Trinidad and Tobago
46|Julieburyairport|Juliebury|Grenada
47|North Williamairport|North William|Brazil
48|Port Michaelairport|Port Michael|Saint Lucia
49|East Curtisairport|East Curtis|Equatorial Guinea
