hotel_ID|airport_ID|distance|travel_time
0|0|4725|5.37
1|1|4232|4.81
2|2|2904|3.30
3|3|4775|5.43
4|4|7494|8.52
5|5|2001|2.27
6|6|7809|8.87
7|7|6067|6.89
8|8|7487|8.51
9|9|882|1.00
10|10|2567|2.92
11|11|1138|1.29
12|12|811|0.92
13|13|8847|10.05
14|14|6550|7.44
15|15|6867|7.80
16|16|7366|8.37
17|17|8642|9.82
18|18|3363|3.82
19|19|7402|8.41
20|20|2834|3.22
21|21|1073|1.22
22|22|1459|1.66
23|23|6571|7.47
24|24|2004|2.28
25|25|1130|1.28
26|26|6530|7.42
27|27|1505|1.71
28|28|4973|5.65
29|29|8080|9.18
30|30|4555|5.18
31|31|5917|6.72
32|32|4584|5.21
33|33|3925|4.46
34|34|4466|5.08
35|35|3560|4.05
36|36|7875|8.95
37|37|2762|3.14
38|38|7295|8.29
39|39|5217|5.93
40|40|2213|2.51
41|41|5277|6.00
42|42|1505|1.71
43|43|2570|2.92
44|44|7759|8.82
45|45|6091|6.92
46|46|3028|3.44
47|47|1041|1.18
48|48|7225|8.21
49|49|4424|5.03
