flight_NO|airplane|cost|date|arrival_time|departure_time|destination|continent|airline_ID|paradise_offer_ID
0|ZXB-7935|480|2011-11-24|10|1|Masonton, Korea|Africa|0|0
1|ZKW C82|766|1992-08-23|10|8|Lake Samuel, Kazakhstan|Africa|1|1
2|QTF 5546|285|2005-03-22|7|5|Erikaton, Somalia|Africa|2|2
3|UKC-5186|499|2000-12-24|8|2|Jenniferberg, Grenada|Africa|3|3
4|546-SVE|452|1995-09-13|14|3|West Angelicamouth, Suriname|South America|4|4
5|816 8VW|331|2003-08-16|13|9|West Kyleborough, Guam|North America|5|5
6|73-32214|663|2020-01-17|10|8|New Kellihaven, Argentina|North America|6|6
7|92KY9|751|2004-02-17|17|10|East Henry, Puerto Rico|Europe|7|7
8|92-70653|436|2006-06-05|13|3|Karenmouth, Djibouti|Australia|8|8
9|HJZ-735|723|2014-05-23|8|2|Murrayport, Slovakia (Slovak Republic)|Africa|9|9
10|2QQ N39|311|1996-01-08|11|10|Brettfort, Tunisia|North America|10|10
11|814 RDW|553|1994-03-02|16|10|West Shannon, Malawi|Australia|11|11
12|NC 3750|551|2005-06-06|14|4|South Waynebury, Hungary|Europe|12|12
13|515-LHA|362|2018-03-28|10|6|East Benjamin, United States Virgin Islands|Australia|13|13
14|W77-EYW|745|2012-04-01|7|2|North Andrewborough, Syrian Arab Republic|North America|14|14
15|RXT 861|385|2017-09-20|14|10|Johnville, Australia|Antarctica|15|15
16|9N 7117U|681|2011-08-14|5|1|Lake Zacharybury, Saint Barthelemy|North America|16|16
17|JN 0953|280|2010-09-23|9|3|Lopezland, Mali|South America|17|17
18|88C Q88|317|1992-01-02|12|8|Markston, Norfolk Island|Antarctica|18|18
19|051-LIX|791|2003-01-17|14|7|Lake Diane, Bosnia and Herzegovina|North America|19|19
20|95-20585|719|2018-12-28|14|9|Port Kimberly, Kyrgyz Republic|Antarctica|20|20
21|PUF-2170|222|2001-04-18|12|10|North Kylie, Turks and Caicos Islands|Europe|21|21
22|687 KJQ|779|1999-12-07|19|8|Port Deborahport, Guinea-Bissau|South America|22|22
23|156UKI|596|2004-12-03|14|3|Klinefurt, Guadeloupe|Africa|23|23
24|LPW 758|661|2000-05-21|8|4|Lake Rogerchester, Netherlands Antilles|Antarctica|24|24
25|LRJ 511|479|2002-06-21|6|4|Kirkchester, Chad|Asia|25|25
26|OLO 059|294|2006-02-10|12|3|Danielleton, Belarus|Europe|26|26
27|5UM82|656|1992-05-16|9|4|Port Cathy, Slovenia|Asia|27|27
28|21-B355|346|2004-05-03|10|0|New Ericmouth, Yemen|Australia|28|28
29|192 LOY|404|2009-04-29|9|7|Raymondview, Egypt|Europe|29|29
30|786 AXF|502|2010-06-04|13|7|West Kimberlymouth, Croatia|Asia|30|30
31|31J WP2|675|2020-04-30|11|1|South Geraldmouth, Benin|South America|31|31
32|5K188|528|2001-03-11|4|3|Melissaburgh, South Africa|Antarctica|32|32
33|13Q H23|264|2018-03-16|6|1|Johnsonside, Montenegro|Asia|33|33
34|291 OZR|792|1993-07-20|10|2|Raymondfort, Mali|Asia|34|34
35|6-91251Y|235|2006-08-16|8|4|Frazierstad, Brunei Darussalam|Australia|35|35
36|USF-2680|240|2019-08-08|17|8|New Ericburgh, Central African Republic|Africa|36|36
37|5841 WH|542|1999-11-03|11|1|Lake Stephanie, Falkland Islands (Malvinas)|South America|37|37
38|981 8UJ|567|2013-02-13|4|1|New Shelly, Cape Verde|Asia|38|38
39|ZVT 959|708|1992-09-17|12|10|North Brandonshire, Estonia|South America|39|39
40|GYS 690|606|2008-04-04|21|10|Dawnport, Liberia|Africa|40|40
41|64Z 7102|389|2006-04-09|7|3|Washingtonborough, Guam|North America|41|41
42|55E K62|617|2017-03-12|2|1|Zacharyville, Ghana|Asia|42|42
43|4O 7321D|684|1993-01-12|11|4|Soniachester, Egypt|South America|43|43
44|HKS 532|332|2008-04-07|4|0|Jimenezport, Luxembourg|North America|44|44
45|733 CMQ|529|2011-02-28|11|5|Brandonport, Lithuania|Europe|45|45
46|74U 801|785|2005-12-22|9|3|West Jessica, Serbia|Africa|46|46
47|LB9 M8B|584|1997-12-08|2|0|Angelaland, Hungary|Antarctica|47|47
48|991-OYRI|557|1995-09-09|4|1|South Nathanielmouth, Micronesia|North America|48|48
49|39Y E86|255|2008-04-29|12|6|North Benjaminmouth, Spain|Antarctica|49|49
