100|9NZ N58|790|2014-12-06|13|9|East Elaine, Belarus|Antarctica|100|100
101|WSP-1997|389|2002-05-20|5|2|Port Seanport, Zimbabwe|North America|101|101
102|CT9 D6V|319|2002-06-14|5|3|Newmanton, Bermuda|Europe|102|102
103|0E S2278|301|2001-03-25|16|8|Gilbertmouth, Congo|Europe|103|103
104|5V 49465|757|1994-05-08|11|2|New Valeriefurt, Tanzania|Australia|104|104
105|580 0JB|609|2015-03-30|8|6|Danielport, Tonga|Africa|105|105
106|3696|284|2012-08-01|11|3|Jenniferfurt, Hong Kong|Africa|106|106
107|3-R2723|648|2010-03-18|10|9|Bridgesstad, Tajikistan|North America|107|107
108|42-2010E|258|1996-03-18|9|5|Barrettberg, Belize|Africa|108|108
109|UZN7969|629|1997-06-06|3|1|Hicksside, Svalbard & Jan Mayen Islands|South America|109|109
110|32-ML69|458|1991-07-26|9|3|Bradfordbury, Rwanda|Europe|110|110
111|500-INRS|681|2010-08-23|5|1|Bushville, Morocco|Africa|111|111
112|847-WCE|216|2008-11-25|10|3|New Pamelaland, Ecuador|Africa|112|112
113|U18-XVV|586|2018-06-20|6|2|Chloemouth, Marshall Islands|Africa|113|113
114|87PO956|632|2003-04-27|14|3|Keithton, Puerto Rico|Africa|114|114
115|49X 407|765|2010-12-25|4|2|New Brett, French Guiana|Europe|115|115
116|TAJ-7128|576|1993-12-05|18|10|Johnathanview, Falkland Islands (Malvinas)|North America|116|116
117|AX 19292|359|2013-09-27|6|4|Woodburgh, Eritrea|Antarctica|117|117
118|HPF-8051|606|1996-03-31|12|4|Port Tyler, Isle of Man|Africa|118|118
119|63-72395|384|1993-02-28|12|8|Karlaville, Austria|Asia|119|119
120|ZOM 747|559|2016-09-12|17|6|South Frances, Iceland|Antarctica|120|120
121|I04-EQN|320|2018-06-10|5|2|Reyesmouth, Malta|Asia|121|121
122|1B856|692|2012-01-31|16|5|Matthewview, Spain|Africa|122|122
123|IU-9673|241|2016-04-18|10|2|New Matthew, Portugal|Europe|123|123
124|LKR 001|321|1991-09-20|12|8|Davisville, Poland|Asia|124|124
125|44-LH30|406|1992-02-13|14|8|North Sheenaborough, Zambia|Africa|125|125
126|11U 192|537|2004-02-08|11|7|North Heather, El Salvador|Africa|126|126
127|OVC 746|221|2014-11-12|4|0|Jonathanland, Falkland Islands (Malvinas)|Europe|127|127
128|0MMK442|709|2006-04-21|12|7|South Tiffanyborough, New Caledonia|Australia|128|128
129|FUP 128|522|2017-06-20|8|1|Robinsonville, United States Minor Outlying Islands|North America|129|129
130|41-W011|571|2010-10-02|7|1|Kimberlytown, Ukraine|Antarctica|130|130
131|EUU-0064|220|1996-06-21|12|1|Rebeccashire, Afghanistan|South America|131|131
132|766 WYP|200|2020-01-12|6|5|New Jeremiahfurt, Zimbabwe|Antarctica|132|132
133|YPD 985|759|2002-08-28|13|9|Richardland, Haiti|North America|133|133
134|KCO-432|697|2010-03-06|16|6|South Donnaport, Qatar|North America|134|134
135|571-DUW|414|2012-11-04|12|7|Mossberg, Argentina|Antarctica|135|135
136|MAX 937|303|2004-07-16|13|8|Port Amberport, Luxembourg|Asia|136|136
137|ZOA-050|302|2002-10-21|8|6|South Davidhaven, Kuwait|North America|137|137
138|293R1|238|1992-07-26|9|5|South Desiree, Latvia|Asia|138|138
139|B20-20H|361|2001-10-08|18|9|South Cherylshire, Bahrain|Africa|139|139
140|DPT Z93|532|1993-06-17|11|5|South Matthew, Syrian Arab Republic|Africa|140|140
141|VMK-1982|390|2002-04-03|17|6|Port Brandon, China|South America|141|141
142|4CD2625|679|2010-02-21|12|6|South John, Morocco|North America|142|142
143|962 EDZ|620|1991-11-05|11|0|Millertown, Christmas Island|Australia|143|143
144|946723|332|1996-03-07|6|0|Alexandrachester, Dominican Republic|Europe|144|144
145|KTW 092|390|2015-09-19|9|4|Salazarland, Nigeria|North America|145|145
146|833 LNA|645|1995-04-24|9|2|New Michaelside, Macedonia|Antarctica|146|146
147|3O YU403|435|1995-02-23|18|7|Lake Megan, United States Minor Outlying Islands|South America|147|147
148|P00-FFV|402|2013-04-03|15|9|Justinchester, El Salvador|Asia|148|148
149|7TZ0108|327|1997-04-18|19|8|Port Anthony, Malawi|Antarctica|149|149
