offer_ID|start_date|end_date|price|capacity|discount|hotel_ID
0|1983-06-05 05:12:48|1983-06-08 05:12:48|309|3|0.01|0
1|1981-10-22 08:11:57|1981-10-29 08:11:57|1603|2|0.64|1
2|2010-12-29 16:59:34|2011-01-01 16:59:34|471|4|0.97|2
3|1980-05-27 14:22:47|1980-06-17 14:22:47|4326|1|0.51|3
4|2014-08-10 18:21:34|2014-08-31 18:21:34|4473|2|0.96|4
5|1975-02-16 21:58:47|1975-02-19 21:58:47|663|1|0.70|5
6|1982-01-20 23:46:43|1982-02-03 23:46:43|3080|4|0.84|6
7|2012-09-24 18:02:02|2012-10-01 18:02:02|1379|2|0.28|7
8|2003-08-17 08:17:16|2003-08-20 08:17:16|741|1|0.27|8
9|2001-07-28 14:47:10|2001-08-11 14:47:10|1540|2|0.93|9
10|2008-05-12 17:18:47|2008-05-26 17:18:47|2478|1|0.05|10
11|2009-06-07 18:10:47|2009-06-10 18:10:47|360|4|0.92|11
12|2000-07-19 14:24:58|2000-08-09 14:24:58|3318|2|0.55|12
13|2016-05-08 15:56:34|2016-06-05 15:56:34|3500|3|0.53|13
14|2008-05-31 12:27:57|2008-06-07 12:27:57|1484|4|0.16|14
15|2013-10-03 15:34:04|2013-10-17 15:34:04|2170|3|0.83|15
16|2013-03-26 10:12:31|2013-04-09 10:12:31|2548|1|0.17|16
17|2012-07-01 13:45:07|2012-07-08 13:45:07|1666|1|0.66|17
18|1991-12-30 09:13:20|1992-01-02 09:13:20|747|2|0.27|18
19|2012-09-06 13:45:20|2012-09-13 13:45:20|1687|4|0.17|19
20|1991-07-07 16:11:53|1991-07-10 16:11:53|465|1|0.80|20
21|1980-04-10 01:35:45|1980-04-13 01:35:45|360|3|0.45|21
22|1999-12-05 08:44:29|1999-12-19 08:44:29|2464|3|0.07|22
23|1974-08-25 06:20:29|1974-09-08 06:20:29|1890|1|0.53|23
24|2001-11-29 02:19:23|2001-12-27 02:19:23|6272|1|0.87|24
25|2000-02-04 03:23:01|2000-02-25 03:23:01|4263|2|0.66|25
26|2012-12-19 03:53:38|2013-01-09 03:53:38|5124|1|0.94|26
27|1990-08-10 15:25:29|1990-08-24 15:25:29|2170|4|0.09|27
28|1988-09-10 01:13:23|1988-09-17 01:13:23|1190|2|0.70|28
29|2010-03-31 19:37:36|2010-04-14 19:37:36|1722|4|0.01|29
30|1973-10-28 03:58:30|1973-11-11 03:58:30|3262|2|0.39|30
31|1993-12-13 13:42:41|1993-12-16 13:42:41|315|2|0.13|31
32|2004-07-10 22:14:28|2004-08-07 22:14:28|4480|1|0.10|32
33|1975-01-19 00:27:11|1975-01-26 00:27:11|959|4|0.21|33
34|1991-02-15 05:29:40|1991-03-01 05:29:40|2618|3|0.75|34
35|2001-06-03 16:07:16|2001-06-17 16:07:16|2436|2|0.23|35
36|2000-10-02 09:07:20|2000-10-09 09:07:20|1652|2|0.52|36
37|1972-07-23 17:35:55|1972-08-20 17:35:55|2856|4|0.51|37
38|1973-11-15 00:14:19|1973-11-18 00:14:19|606|1|0.06|38
39|1995-02-04 00:32:42|1995-02-18 00:32:42|2212|3|0.56|39
40|1989-07-15 08:07:18|1989-07-18 08:07:18|624|2|0.36|40
41|1975-03-23 03:49:29|1975-03-30 03:49:29|1673|1|0.22|41
42|2013-11-14 06:31:38|2013-12-12 06:31:38|4088|4|0.22|42
43|1976-02-23 07:57:48|1976-03-15 07:57:48|4725|1|0.97|43
44|2011-11-08 02:47:30|2011-11-22 02:47:30|3220|2|0.26|44
45|2010-06-05 22:24:54|2010-06-19 22:24:54|3010|1|0.08|45
46|2004-07-04 05:44:09|2004-07-18 05:44:09|3178|1|0.60|46
47|1996-03-01 08:43:58|1996-03-22 08:43:58|3990|4|0.10|47
48|2001-06-27 18:15:19|2001-07-18 18:15:19|4704|3|0.54|48
49|2009-06-29 03:58:25|2009-07-27 03:58:25|6356|3|0.16|49
