opinion_ID|overall_reat|location|food|hotel|time_management|travelAgent|client_ID|offer_ID
0|9|1|6|10|6|2|0|0
1|7|3|3|3|9|10|1|1
2|5|8|3|5|6|8|2|2
3|5|1|2|9|1|4|3|3
4|1|3|6|2|2|3|4|4
5|4|5|8|5|7|7|5|5
6|6|7|9|7|6|9|6|6
7|5|3|6|7|4|4|7|7
8|6|9|7|7|9|6|8|8
9|7|10|6|8|3|4|9|9
10|10|6|9|3|3|9|10|10
11|9|8|10|1|2|7|11|11
12|6|8|8|2|8|7|12|12
13|2|3|1|9|1|10|13|13
14|9|10|3|1|9|8|14|14
15|6|7|4|8|1|2|15|15
16|1|9|8|2|7|9|16|16
17|8|3|7|2|8|10|17|17
18|6|4|4|3|8|8|18|18
19|5|4|6|7|3|2|19|19
20|4|3|1|8|7|1|20|20
21|4|8|4|9|5|7|21|21
22|6|3|5|2|2|4|22|22
23|6|9|7|6|2|5|23|23
24|6|7|10|2|7|4|24|24
25|9|8|4|10|10|2|25|25
26|3|4|10|3|6|6|26|26
27|7|9|6|4|5|3|27|27
28|7|5|4|7|2|10|28|28
29|3|6|3|7|8|4|29|29
30|10|5|6|10|1|1|30|30
31|6|7|2|9|5|1|31|31
32|5|10|8|10|5|4|32|32
33|7|8|4|10|2|2|33|33
34|2|10|9|10|10|8|34|34
35|6|9|3|9|3|2|35|35
36|10|4|7|5|6|1|36|36
37|4|1|10|10|5|2|37|37
38|8|7|8|1|7|10|38|38
39|7|6|6|10|6|8|39|39
40|1|9|7|3|8|3|40|40
41|3|7|1|8|8|6|41|41
42|10|10|5|1|3|5|42|42
43|10|3|3|5|6|5|43|43
44|6|4|9|9|10|3|44|44
45|7|3|1|4|6|8|45|45
46|1|7|4|6|10|9|46|46
47|6|7|1|5|2|1|47|47
48|6|9|2|10|10|3|48|48
49|4|4|3|10|1|6|49|49
