transaction_no|amount|payment_date|payment_method|offer_ID|client_ID
0|10482|1972-12-08 08:35:59|International Transfer|0|0
1|3126|1978-09-14 14:26:25|PayPal|1|1
2|10708|2009-01-10 02:01:48|BLIK|2|2
3|10299|2010-04-23 21:08:44|BitCoin|3|3
4|9013|1980-12-18 21:16:35|BLIK|4|4
5|2645|1979-03-03 14:01:20|MasterCard|5|5
6|8744|2012-11-03 07:29:21|BLIK|6|6
7|8581|2004-11-19 19:21:14|International Transfer|7|7
8|4933|1972-09-01 02:15:32|PayPal|8|8
9|6561|2008-12-10 19:56:01|PayPal|9|9
10|2060|1979-12-30 08:26:41|Visa|10|10
11|6750|1973-10-21 16:48:44|Visa|11|11
12|9370|1981-04-27 10:29:24|International Transfer|12|12
13|10463|1987-07-30 01:52:37|International Transfer|13|13
14|6963|1982-04-02 20:34:35|BitCoin|14|14
15|10810|2005-02-27 04:10:31|MasterCard|15|15
16|5676|1997-08-04 16:06:52|International Transfer|16|16
17|2708|2010-10-15 02:41:08|MasterCard|17|17
18|7372|2008-05-09 11:17:55|MasterCard|18|18
19|10644|2013-05-23 04:45:50|PayPal|19|19
20|10138|1971-04-08 19:16:57|Visa|20|20
21|4622|2018-12-19 10:40:56|International Transfer|21|21
22|3312|2019-07-16 21:35:42|PayPal|22|22
23|9044|2015-01-12 18:18:08|International Transfer|23|23
24|4952|1989-04-16 07:16:06|PayPal|24|24
25|4140|1975-11-02 06:58:36|International Transfer|25|25
26|8512|1984-09-27 11:00:27|MasterCard|26|26
27|4053|2000-07-27 00:14:25|Cash|27|27
28|7718|2011-04-11 06:47:12|BLIK|28|28
29|10273|2002-01-30 01:04:46|PayPal|29|29
30|2382|2002-10-11 22:23:34|Cash|30|30
31|9274|1981-08-10 11:03:00|BLIK|31|31
32|4414|1984-12-05 07:36:34|BLIK|32|32
33|4758|1997-12-14 15:58:23|PayPal|33|33
34|2936|2010-11-20 22:15:26|BitCoin|34|34
35|3777|1979-09-18 03:06:14|Cash|35|35
36|1470|2009-08-25 17:57:25|MasterCard|36|36
37|9656|1982-05-18 18:07:16|Visa|37|37
38|2690|2012-05-30 00:16:53|BitCoin|38|38
39|4876|2014-11-21 15:48:20|BitCoin|39|39
40|2826|2004-10-05 02:59:54|Cash|40|40
41|2873|1988-01-01 16:44:39|BitCoin|41|41
42|4146|1981-05-31 17:53:33|Visa|42|42
43|6037|2019-04-13 18:15:03|BitCoin|43|43
44|2194|2016-08-27 11:03:34|Cash|44|44
45|10694|1993-04-27 03:22:37|International Transfer|45|45
46|2607|2000-11-10 01:28:33|Cash|46|46
47|1281|2010-08-05 22:00:45|MasterCard|47|47
48|2793|2010-03-11 08:14:00|BLIK|48|48
49|5925|1974-09-08 02:23:27|PayPal|49|49
